일시,기온(°C),습도(%)
2020-06-01 0:00,19.5,89
2020-06-01 1:00,19.3,93
2020-06-01 2:00,19.2,94
2020-06-01 3:00,19.1,96
2020-06-01 4:00,18.6,98
2020-06-01 5:00,18.6,97
2020-06-01 6:00,18.7,96
2020-06-01 7:00,18.9,95
2020-06-01 8:00,19.6,91
2020-06-01 9:00,20.1,88
2020-06-01 10:00,20.9,78
2020-06-01 11:00,23.1,64
2020-06-01 12:00,23.5,52
2020-06-01 13:00,25.2,43
2020-06-01 14:00,25.5,39
2020-06-01 15:00,25.9,33
2020-06-01 16:00,25.4,27
2020-06-01 17:00,24.9,28
2020-06-01 18:00,24.5,25
2020-06-01 19:00,22.7,43
2020-06-01 20:00,21,47
2020-06-01 21:00,19.4,56
2020-06-01 22:00,18.7,58
2020-06-01 23:00,18.3,64
2020-06-02 0:00,17.6,69
2020-06-02 1:00,16.6,76
2020-06-02 2:00,16.2,69
2020-06-02 3:00,15.5,71
2020-06-02 4:00,14.9,87
2020-06-02 5:00,14.4,92
2020-06-02 6:00,14.8,90
2020-06-02 7:00,15.6,82
2020-06-02 8:00,17.4,68
2020-06-02 9:00,20.2,53
2020-06-02 10:00,22.1,41
2020-06-02 11:00,25.6,36
2020-06-02 12:00,26.3,31
2020-06-02 13:00,26.6,24
2020-06-02 14:00,27.2,24
2020-06-02 15:00,27.6,28
2020-06-02 16:00,26.7,36
2020-06-02 17:00,26,49
2020-06-02 18:00,24.7,53
2020-06-02 19:00,23.3,61
2020-06-02 20:00,22.3,72
2020-06-02 21:00,21.2,79
2020-06-02 22:00,20.3,83
2020-06-02 23:00,19.7,87
2020-06-03 0:00,19.9,85
2020-06-03 1:00,19.8,83
2020-06-03 2:00,20.2,79
2020-06-03 3:00,19.9,84
2020-06-03 4:00,18.8,93
2020-06-03 5:00,18.3,96
2020-06-03 6:00,18.7,96
2020-06-03 7:00,19.4,95
2020-06-03 8:00,20.2,92
2020-06-03 9:00,20.6,91
2020-06-03 10:00,21.6,86
2020-06-03 11:00,22.6,86
2020-06-03 12:00,24.6,80
2020-06-03 13:00,24.8,75
2020-06-03 14:00,25.6,74
2020-06-03 15:00,26.7,66
2020-06-03 16:00,27.9,65
2020-06-03 17:00,27.4,60
2020-06-03 18:00,25.4,73
2020-06-03 19:00,24.2,80
2020-06-03 20:00,24,77
2020-06-03 21:00,23.8,81
2020-06-03 22:00,23.2,88
2020-06-03 23:00,22.5,94
2020-06-04 0:00,21.9,96
2020-06-04 1:00,21.8,96
2020-06-04 2:00,21.5,95
2020-06-04 3:00,21.3,94
2020-06-04 4:00,20.5,96
2020-06-04 5:00,20.3,96
2020-06-04 6:00,20.5,96
2020-06-04 7:00,21.3,91
2020-06-04 8:00,22,84
2020-06-04 9:00,23.4,76
2020-06-04 10:00,24.6,70
2020-06-04 11:00,27.3,64
2020-06-04 12:00,28,59
2020-06-04 13:00,29,56
2020-06-04 14:00,30.4,49
2020-06-04 15:00,31,48
2020-06-04 16:00,31,45
2020-06-04 17:00,30.6,41
2020-06-04 18:00,29.1,47
2020-06-04 19:00,27.1,55
2020-06-04 20:00,25.6,62
2020-06-04 21:00,24.2,69
2020-06-04 22:00,23.5,78
2020-06-04 23:00,22.8,83
2020-06-05 0:00,21.9,91
2020-06-05 1:00,21.6,94
2020-06-05 2:00,21.3,95
2020-06-05 3:00,20.9,96
2020-06-05 4:00,20.5,97
2020-06-05 5:00,20.6,98
2020-06-05 6:00,20.3,98
2020-06-05 7:00,20.8,97
2020-06-05 8:00,22.3,94
2020-06-05 9:00,23.9,85
2020-06-05 10:00,25.4,81
2020-06-05 11:00,27.2,70
2020-06-05 12:00,28.7,60
2020-06-05 13:00,29.4,56
2020-06-05 14:00,31,53
2020-06-05 15:00,32.1,47
2020-06-05 16:00,31.2,46
2020-06-05 17:00,31.3,55
2020-06-05 18:00,28.6,65
2020-06-05 19:00,27.1,72
2020-06-05 20:00,25,80
2020-06-05 21:00,23.8,86
2020-06-05 22:00,22.6,90
2020-06-05 23:00,22.3,88
2020-06-06 0:00,21.9,92
2020-06-06 1:00,22,90
2020-06-06 2:00,21.8,92
2020-06-06 3:00,21.4,95
2020-06-06 4:00,20.7,96
2020-06-06 5:00,20.9,96
2020-06-06 6:00,21.1,96
2020-06-06 7:00,21.8,95
2020-06-06 8:00,23.1,91
2020-06-06 9:00,24.1,84
2020-06-06 10:00,25.1,81
2020-06-06 11:00,27.2,73
2020-06-06 12:00,28.4,68
2020-06-06 13:00,29.4,63
2020-06-06 14:00,29.7,57
2020-06-06 15:00,29.4,59
2020-06-06 16:00,29,61
2020-06-06 17:00,26.4,72
2020-06-06 18:00,24.8,77
2020-06-06 19:00,23.5,81
2020-06-06 20:00,23.1,82
2020-06-06 21:00,20.9,97
2020-06-06 22:00,21.6,95
2020-06-06 23:00,21.5,96
2020-06-07 0:00,21.5,95
2020-06-07 1:00,21.1,94
2020-06-07 2:00,20.8,93
2020-06-07 3:00,20.4,95
2020-06-07 4:00,20.3,95
2020-06-07 5:00,19.9,95
2020-06-07 6:00,20.5,95
2020-06-07 7:00,21.1,94
2020-06-07 8:00,22,89
2020-06-07 9:00,23.2,81
2020-06-07 10:00,25.2,55
2020-06-07 11:00,25.9,55
2020-06-07 12:00,26.8,52
2020-06-07 13:00,29.1,51
2020-06-07 14:00,29.3,54
2020-06-07 15:00,29.5,47
2020-06-07 16:00,30.7,46
2020-06-07 17:00,28.5,50
2020-06-07 18:00,28.4,55
2020-06-07 19:00,26.5,62
2020-06-07 20:00,24.7,70
2020-06-07 21:00,23.6,76
2020-06-07 22:00,23.1,75
2020-06-07 23:00,22.7,77
2020-06-08 0:00,22.1,69
2020-06-08 1:00,21.7,86
2020-06-08 2:00,21.3,91
2020-06-08 3:00,20.5,86
2020-06-08 4:00,20.5,92
2020-06-08 5:00,20.3,92
2020-06-08 6:00,19.7,96
2020-06-08 7:00,20.7,90
2020-06-08 8:00,22.7,80
2020-06-08 9:00,24.8,70
2020-06-08 10:00,26.9,62
2020-06-08 11:00,28,53
2020-06-08 12:00,29.8,47
2020-06-08 13:00,31.6,43
2020-06-08 14:00,33,36
2020-06-08 15:00,32,34
2020-06-08 16:00,32.8,33
2020-06-08 17:00,31.5,35
2020-06-08 18:00,30.2,36
2020-06-08 19:00,28.9,40
2020-06-08 20:00,27.2,44
2020-06-08 21:00,26.5,46
2020-06-08 22:00,25.7,49
2020-06-08 23:00,24.8,50
2020-06-09 0:00,24.3,54
2020-06-09 1:00,23.2,58
2020-06-09 2:00,22.5,61
2020-06-09 3:00,22,62
2020-06-09 4:00,21.1,53
2020-06-09 5:00,20.8,66
2020-06-09 6:00,20.2,72
2020-06-09 7:00,21.3,69
2020-06-09 8:00,24.4,55
2020-06-09 9:00,27,45
2020-06-09 10:00,28.7,43
2020-06-09 11:00,30.1,40
2020-06-09 12:00,30.9,40
2020-06-09 13:00,32,39
2020-06-09 14:00,32.7,39
2020-06-09 15:00,32.3,40
2020-06-09 16:00,32.1,44
2020-06-09 17:00,30.1,49
2020-06-09 18:00,29.9,51
2020-06-09 19:00,28.1,56
2020-06-09 20:00,27.1,59
2020-06-09 21:00,26.5,63
2020-06-09 22:00,26.2,65
2020-06-09 23:00,26,67
2020-06-10 0:00,25.1,72
2020-06-10 1:00,24.4,74
2020-06-10 2:00,24.5,75
2020-06-10 3:00,24.2,76
2020-06-10 4:00,23.3,81
2020-06-10 5:00,22.7,85
2020-06-10 6:00,22.6,85
2020-06-10 7:00,23.2,84
2020-06-10 8:00,25.8,70
2020-06-10 9:00,27.2,62
2020-06-10 10:00,29.8,57
2020-06-10 11:00,30.3,51
2020-06-10 12:00,30.1,50
2020-06-10 13:00,31.5,45
2020-06-10 14:00,30.5,48
2020-06-10 15:00,29.1,57
2020-06-10 16:00,28.4,58
2020-06-10 17:00,24.7,75
2020-06-10 18:00,21.6,98
2020-06-10 19:00,21.7,97
2020-06-10 20:00,22,97
2020-06-10 21:00,22.2,94
2020-06-10 22:00,22.1,96
2020-06-10 23:00,22.6,96
2020-06-11 0:00,22.4,97
2020-06-11 1:00,22.2,98
2020-06-11 2:00,22.2,99
2020-06-11 3:00,22.7,99
2020-06-11 4:00,22.2,99
2020-06-11 5:00,22.4,99
2020-06-11 6:00,22.2,99
2020-06-11 7:00,22.6,99
2020-06-11 8:00,22.8,99
2020-06-11 9:00,23.9,97
2020-06-11 10:00,24.6,95
2020-06-11 11:00,24.9,94
2020-06-11 12:00,26.5,88
2020-06-11 13:00,26.1,88
2020-06-11 14:00,26.5,88
2020-06-11 15:00,28.6,81
2020-06-11 16:00,30.6,63
2020-06-11 17:00,29.7,70
2020-06-11 18:00,29,73
2020-06-11 19:00,28.5,76
2020-06-11 20:00,27.1,87
2020-06-11 21:00,26,90
2020-06-11 22:00,25.2,92
2020-06-11 23:00,24.7,92
2020-06-12 0:00,24.1,93
2020-06-12 1:00,23.6,94
2020-06-12 2:00,23.4,96
2020-06-12 3:00,23.5,96
2020-06-12 4:00,23.7,95
2020-06-12 5:00,23.4,96
2020-06-12 6:00,23.3,96
2020-06-12 7:00,23.5,96
2020-06-12 8:00,24.1,95
2020-06-12 9:00,25.6,89
2020-06-12 10:00,25.7,90
2020-06-12 11:00,26.1,88
2020-06-12 12:00,27.6,76
2020-06-12 13:00,28.5,75
2020-06-12 14:00,30.6,60
2020-06-12 15:00,30.5,59
2020-06-12 16:00,29.3,64
2020-06-12 17:00,28,68
2020-06-12 18:00,25.9,83
2020-06-12 19:00,24.4,94
2020-06-12 20:00,23.9,96
2020-06-12 21:00,24.1,95
2020-06-12 22:00,23.6,98
2020-06-12 23:00,22.7,99
2020-06-13 0:00,22.7,99
2020-06-13 1:00,22.7,99
2020-06-13 2:00,22.6,99
2020-06-13 3:00,22.2,99
2020-06-13 4:00,22,99
2020-06-13 5:00,22,99
2020-06-13 6:00,22.2,99
2020-06-13 7:00,22.6,99
2020-06-13 8:00,22.9,99
2020-06-13 9:00,23.1,98
2020-06-13 10:00,24.1,97
2020-06-13 11:00,25.7,92
2020-06-13 12:00,26.1,86
2020-06-13 13:00,25.7,92
2020-06-13 14:00,26.4,87
2020-06-13 15:00,25.9,93
2020-06-13 16:00,25.2,95
2020-06-13 17:00,25.7,94
2020-06-13 18:00,25,95
2020-06-13 19:00,24.9,95
2020-06-13 20:00,23.4,99
2020-06-13 21:00,23.1,99
2020-06-13 22:00,23.2,99
2020-06-13 23:00,23.4,99
2020-06-14 0:00,23.2,99
2020-06-14 1:00,23.2,99
2020-06-14 2:00,23.2,99
2020-06-14 3:00,23.2,99
2020-06-14 4:00,23,99
2020-06-14 5:00,22.9,99
2020-06-14 6:00,22.9,99
2020-06-14 7:00,23,99
2020-06-14 8:00,23.2,99
2020-06-14 9:00,22.9,99
2020-06-14 10:00,22.9,99
2020-06-14 11:00,22.9,99
2020-06-14 12:00,23.1,99
2020-06-14 13:00,23.6,99
2020-06-14 14:00,24.4,96
2020-06-14 15:00,24,95
2020-06-14 16:00,24.5,94
2020-06-14 17:00,25.6,82
2020-06-14 18:00,25,60
2020-06-14 19:00,23.9,65
2020-06-14 20:00,23.1,75
2020-06-14 21:00,22.3,90
2020-06-14 22:00,22,95
2020-06-14 23:00,22,96
2020-06-15 0:00,21.4,96
2020-06-15 1:00,21,97
2020-06-15 2:00,20.6,95
2020-06-15 3:00,20,95
2020-06-15 4:00,19.1,96
2020-06-15 5:00,18.5,97
2020-06-15 6:00,18.9,97
2020-06-15 7:00,19.6,96
2020-06-15 8:00,20.4,91
2020-06-15 9:00,21.8,78
2020-06-15 10:00,23.9,67
2020-06-15 11:00,25.8,54
2020-06-15 12:00,27.3,46
2020-06-15 13:00,27.9,47
2020-06-15 14:00,28.5,43
2020-06-15 15:00,29.4,43
2020-06-15 16:00,29.2,51
2020-06-15 17:00,27.4,50
2020-06-15 18:00,27,50
